move_id,name,type,power,pp,accuracy,priority,damage_class,effect_text,short_effect_text
117,bide,normal,,10,,1,physical,"User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is typeless.

This move cannot be selected by sleep talk.","User waits for two turns, then hits back for twice the damage it took."
124,sludge,poison,65.0,20,100.0,0,special,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.,Has a $effect_chance% chance to poison the target.
130,skull-bash,normal,130.0,10,100.0,0,physical,"Inflicts regular damage.  Raises the user’s Defense by one stage.  User then charges for one turn before attacking.

This move cannot be selected by sleep talk.",Raises the user’s Defense by one stage.  User charges for one turn before attacking.
133,amnesia,psychic,,20,,0,status,Raises the user’s Special Defense by two stages.,Raises the user’s Special Defense by two stages.
148,flash,normal,,20,100.0,0,status,Lowers the target’s accuracy by one stage.,Lowers the target’s accuracy by one stage.
156,rest,psychic,,5,,0,status,"User falls to sleep and immediately regains all its HP.  If the user has another major status effect, sleep will replace it.  The user will always wake up after two turns, or one turn with early bird.

This move fails if the Pokémon cannot fall asleep due to uproar, insomnia, or vital spirit.  It also fails if the Pokémon is at full health or is already asleep.","User sleeps for two turns, completely healing itself."
164,substitute,normal,,10,,0,status,"Transfers 1/4 the user’s max HP into a doll that absorbs damage and causes most negative move effects to fail.  If the user leaves the field, the doll will vanish.  If the user cannot pay the HP cost, this move will fail.

The doll takes damage as normal, using the user’s stats and types, and will break when its HP reaches zero.  Self-inflicted damage from confusion or recoil is not absorbed.  Healing effects from opponents ignore the doll and heal the user as normal.  Moves that work based on the user’s HP still do so; the doll’s HP does not influence any move.

The doll will block major status effects, confusion, and flinching.  The effects of smelling salts and wake up slap do not trigger against a doll, even if the Pokémon behind the doll has the appropriate major status effect.  Multi-turn trapping moves like wrap will hit the doll for their regular damage, but the multi-turn trapping and damage effects will not activate.

Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such, e.g., avalanche, counter, or a rowap berry.  magic coat still works as normal, even against moves the doll would block.  Opposing Pokémon that damage the doll with a leech move like absorb are healed as normal.

It will also block acupressure, block, the curse effect of curse, dream eater, embargo, flatter, gastro acid, grudge, heal block, leech seed, lock on, mean look, mimic, mind reader, nightmare, pain split, psycho shift, spider web, sketch, swagger, switcheroo, trick, worry seed, and yawn.  A Pokémon affected by yawn before summoning the doll will still fall to sleep.

The doll blocks intimidate, but all other abilities act as though the doll did not exist.  If the user has an ability that absorbs moves of a certain type for HP (such as volt absorb absorbing thunder wave), such moves will not be blocked.

life orb and berries that cause confusion still work as normal, but their respective HP loss and confusion are absorbed/blocked by the doll.

The user is still vulnerable to damage inflicted when entering or leaving the field, such as by pursuit or spikes; however, the doll will block the poison effect of toxic spikes.

The doll is passed on by baton pass.  It keeps its existing HP, but uses the replacement Pokémon’s stats and types for damage calculation.

All other effects work as normal.","Transfers 1/4 of the user’s max HP into a doll, protecting the user from further damage or status changes until it breaks."
173,snore,normal,50.0,15,100.0,0,special,Only usable if the user is sleeping.  Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,Has a $effect_chance% chance to make the target flinch.  Only works if the user is sleeping.
174,curse,ghost,,10,,0,status,"If the user is a ghost: user pays half its max HP to place a curse on the target, damaging it for 1/4 its max HP every turn.
Otherwise: Lowers the user’s Speed by one stage, and raises its Attack and Defense by one stage each.

The curse effect is passed on by baton pass.

This move cannot be copied by mirror move.",Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.
182,protect,normal,,10,,4,status,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will fail.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

lock on, mind reader, and no guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn drill, and sheer cold); those are always blocked by this move.

thunder during rain dance and blizzard during hail have a 30% chance to break through this move.

The following effects are not prevented by this move:

* acupressure from an ally
* curse’s curse effect
* Delayed damage from doom desire and future sight; however, these moves will be prevented if they are used this turn
* feint, which will also end this move’s protection after it hits
* imprison
* perish song
* shadow force
* Moves that merely copy the user, such as transform or psych up

This move cannot be selected by assist or metronome.",Prevents any moves from hitting the user this turn.
188,sludge-bomb,poison,90.0,10,100.0,0,special,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.,Has a $effect_chance% chance to poison the target.
189,mud-slap,ground,20.0,10,100.0,0,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s accuracy by one stage.,Has a $effect_chance% chance to lower the target’s accuracy by one stage.
200,outrage,dragon,120.0,10,100.0,0,physical,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.","Hits every turn for 2-3 turns, then confuses the user."
202,giga-drain,grass,75.0,10,100.0,0,special,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,Drains half the damage inflicted to heal the user.
203,endure,normal,,10,,4,status,"The user’s HP cannot be lowered below 1 by any means for the remainder of this turn.

If the user successfully used detect, endure, protect, quick guard, or wide guard on the last turn, this move has a 50% chance to fail.

This move cannot be selected by assist or metronome.",Prevents the user’s HP from lowering below 1 this turn.
204,charm,fairy,,20,100.0,0,status,Lowers the target’s Attack by two stages.,Lowers the target’s Attack by two stages.
206,false-swipe,normal,40.0,40,100.0,0,physical,Inflicts regular damage.  Will not reduce the target’s HP below 1.,Cannot lower the target’s HP below 1.
207,swagger,normal,,15,85.0,0,status,"Raises the target’s Attack by two stages, then confuses it.  If the target’s Attack cannot be raised by two stages, the confusion is not applied.",Raises the target’s Attack by two stages and confuses the target.
210,fury-cutter,bug,40.0,20,95.0,0,physical,"Inflicts regular damage.  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the field, power resets.","Power doubles every turn this move is used in succession after the first, maxing out after five turns."
213,attract,normal,,15,100.0,0,status,"Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will fail.  If either Pokémon leaves the field, this effect ends.","Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user."
214,sleep-talk,normal,,10,,0,status,"Only usable if the user is sleeping.  Randomly selects and uses one of the user’s other three moves.  Use of the selected move requires and costs 0 PP.

This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus punch, me first, metronome, mirror move, shadow force, skull bash, sky attack, sky drop, sleep talk, solar beam, razor wind, or uproar.

If the selected move requires a recharge turn—i.e., one of blast burn, frenzy plant, giga impact, hydro cannon, hyper beam, roar of time, or rock wrecker—and the user is still sleeping next turn, then it’s forced to use this move again and pay another PP for the recharge turn.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",Randomly uses one of the user’s other three moves.  Only works if the user is sleeping.
216,return,normal,,20,100.0,0,physical,"Inflicts regular damage.  Power increases with happiness, given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.","Power increases with happiness, up to a maximum of 102."
218,frustration,normal,,20,100.0,0,physical,"Inflicts regular damage.  Power increases inversely with happiness, given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1.","Power increases as happiness decreases, up to a maximum of 102."
219,safeguard,normal,,25,,0,status,"Protects Pokémon on the user’s side of the field from major status effects and confusion for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the field.

If yawn is used while this move is in effect, it will immediately fail.

defog used by an opponent will end this effect.

This effect does not prevent the confusion caused by outrage, petal dance, or thrash.",Protects the user’s field from major status ailments and confusion for five turns.
230,sweet-scent,normal,,20,100.0,0,status,Lowers the target’s evasion by one stage.,Lowers the target’s evasion by one stage.
235,synthesis,grass,,5,,0,status,"Heals the user for half its max HP.

During sunny day, the healing is increased to 2/3 max HP.

During hail, rain dance, or sandstorm, the healing is decreased to 1/4 max HP.",Heals the user by half its max HP.  Affected by weather.
237,hidden-power,normal,60.0,15,100.0,0,special,"Inflicts regular damage.  Power and type are determined by the user’s IVs.

Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the IV for each of Special Defense, Special Attack, Speed, Defense, Attack, and HP in that order.  (Bit 1 is 1 if the IV is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * Special Defense IV bit 1, plus 32 * Special Attack IV bit 1, etc.)

Power is always between 30 and 70, inclusive.  Average power is 49.5.

Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the IV is odd.)  The result is looked up in the following table.

Value | Type
----: | --------
    0 | fighting
    1 | flying
    2 | poison
    3 | ground
    4 | rock
    5 | bug
    6 | ghost
    7 | steel
    8 | fire
    9 | water
   10 | grass
   11 | electric
   12 | psychic
   13 | ice
   14 | dragon
   15 | dark

This move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random IVs.  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time.",Power and type depend upon user’s IVs.  Power can range from 30 to 70.
241,sunny-day,fire,,5,,0,status,"Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.

If the user is holding heat rock, this effect lasts for eight turns.

Pokémon cannot become frozen.

thunder has 50% accuracy.

solar beam skips its charge turn.

moonlight, morning sun, and synthesis heal 2/3 of the user’s max HP.

Pokémon with chlorophyll have doubled original Speed.

Pokémon with forecast become fire.

Pokémon with leaf guard are not affected by major status effects.

Pokémon with flower gift change form; every Pokémon on their side of the field have their original Attack and Special Attack increased by 50%.

Pokémon with dry skin lose 1/8 max HP at the end of each turn.

Pokémon with solar power have their original Special Attack raised by 50% but lose 1/8 their max HP at the end of each turn.",Changes the weather to sunny for five turns.
249,rock-smash,fighting,40.0,15,100.0,0,physical,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Defense by one stage.,Has a $effect_chance% chance to lower the target’s Defense by one stage.
263,facade,normal,70.0,20,100.0,0,physical,"Inflicts regular damage.  If the user is burned, paralyzed, or poisoned, this move has double power.","Power doubles if user is burned, paralyzed, or poisoned."
267,nature-power,normal,,20,,0,status,"Uses another move chosen according to the terrain.

Terrain                   | Selected move
------------------------- | ------------------
Building                  | tri attack
Cave                      | rock slide
Deep water                | hydro pump
Desert                    | earthquake
Grass                     | seed bomb
Mountain                  | rock slide
Road                      | earthquake
Shallow water             | hydro pump
Snow                      | blizzard
Tall grass                | seed bomb
electric terrain | thunderbolt
grassy terrain   | energy ball
misty terrain    | moonblast

In Pokémon Battle Revolution:

Terrain        | Selected move
-------------- | ------------------
Courtyard      | tri attack
Crystal        | rock slide
Gateway        | hydro pump
Magma          | rock slide
Main Street    | tri attack
Neon           | tri attack
Stargazer      | rock slide
Sunny Park     | seed bomb
Sunset         | earthquake
Waterfall      | seed bomb

This move cannot be copied by mirror move.",Uses a move which depends upon the terrain.
270,helping-hand,normal,,20,,5,status,"Boosts the power of the target’s moves by 50% until the end of this turn.

This move cannot be copied by mirror move, nor selected by assist or metronome.",Ally’s next move inflicts half more damage.
275,ingrain,grass,,20,,0,status,"Prevents the user from switching out.  User regains 1/16 of its max HP at the end of every turn.  If the user was immune to ground attacks, it will now take normal damage from them.

roar and whirlwind will not affect the user.  The user cannot use magnet rise.

The user may still use u turn to leave the field.

This effect can be passed with baton pass.",Prevents the user from leaving battle.  User regains 1/16 of its max HP every turn.
282,knock-off,dark,65.0,20,100.0,0,physical,"Inflicts regular damage.  Target loses its held item.

Neither the user nor the target can recover its item with recycle.

If the target has multitype or sticky hold, it will take damage but not lose its item.",Target drops its held item.
290,secret-power,normal,70.0,20,100.0,0,physical,"Inflicts regular damage.  Has a $effect_chance% chance to inflict an effect chosen according to the terrain.

Terrain        | Effect
-------------- | -------------------------------------------------------------
Building       | Paralyzes target
Cave           | Makes target flinch
Deep water     | Lowers target’s Attack by one stage
Desert         | Lowers target’s accuracy by one stage
Grass          | Puts target to sleep
Mountain       | Makes target flinch
Road           | Lowers target’s accuracy by one stage
Shallow water  | Lowers target’s Attack by one stage
Snow           | Freezes target
Tall grass     | Puts target to sleep

In Pokémon Battle Revolution:

Terrain        | Effect
-------------- | -------------------------------------------------------------
Courtyard      | Paralyzes target
Crystal        | Makes target flinch
Gateway        | Lowers target’s Attack by one stage
Magma          | Makes target flinch
Main Street    | Paralyzes target
Neon           | Paralyzes target
Stargazer      | Makes target flinch
Sunny Park     | Puts target to sleep
Sunset         | Lowers target’s accuracy by one stage
Waterfall      | Puts target to sleep
",Has a $effect_chance% chance to inflict a status effect which depends upon the terrain.
311,weather-ball,normal,50.0,10,100.0,0,special,"Inflicts regular damage.  If a weather move is active, this move has double power, and its type becomes the type of the weather move.  shadow sky is typeless for the purposes of this move.","If there be weather, this move has doubled power and the weather’s type."
320,grass-whistle,grass,,15,55.0,0,status,Puts the target to sleep.,Puts the target to sleep.
331,bullet-seed,grass,25.0,30,100.0,0,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.
345,magical-leaf,grass,60.0,20,,0,special,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,Never misses.
363,natural-gift,normal,,15,100.0,0,physical,"Inflicts regular damage.  Power and type are determined by the user’s held berry.  The berry is consumed.  If the user is not holding a berry, this move will fail.",Power and type depend on the held berry.
388,worry-seed,grass,,10,100.0,0,status,"Changes the target’s ability to insomnia.

If the target’s ability is truant or multitype, this move will fail.",Changes the target’s ability to Insomnia.
402,seed-bomb,grass,80.0,15,100.0,0,physical,Inflicts regular damage.,Inflicts regular damage with no additional effect.
412,energy-ball,grass,90.0,10,100.0,0,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Special Defense by one stage.,Has a $effect_chance% chance to lower the target’s Special Defense by one stage.
437,leaf-storm,grass,130.0,5,90.0,0,special,"Inflicts regular damage, then lowers the user’s Special Attack by two stages.",Lowers the user’s Special Attack by two stages after inflicting damage.
438,power-whip,grass,120.0,10,85.0,0,physical,Inflicts regular damage.,Inflicts regular damage with no additional effect.
445,captivate,normal,,20,100.0,0,status,"Lowers the target’s Special Attack by two stages.  If the user and target are the same gender, or either is genderless, this move will fail.",Lowers the target’s Special Attack by two stages if it’s the opposite gender.
447,grass-knot,grass,,20,100.0,0,special,"Inflicts regular damage.  Power increases with the target’s weight in kilograms, to a maximum of 120.

Target’s weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
","Inflicts more damage to heavier targets, with a maximum of 120 power."
474,venoshock,poison,65.0,10,100.0,0,special,"Inflicts regular damage.  If the target is poisoned, this move has double power.",Inflicts double damage if the target is Poisoned.
491,acid-spray,poison,40.0,20,100.0,0,special,Inflicts regular damage.  Lowers the target’s Special Defense by two stages.,Lowers the target’s Special Defense by two stages.
496,round,normal,60.0,15,100.0,0,special,"Inflicts regular damage.  If round has already been used this turn, this move’s power is doubled.  After this move is used, any other Pokémon using it this turn will immediately do so (in the order they would otherwise act), regardless of Speed or priority.  Pokémon using other moves will then continue to act as usual.",Has double power if it’s used more than once per turn.
497,echoed-voice,normal,40.0,15,100.0,0,special,"Inflicts regular damage.  If any friendly Pokémon used this move earlier this turn or on the previous turn, that use’s power is added to this move’s power, to a maximum of 200.","Power increases by 100% for each consecutive use by any friendly Pokémon, to a maximum of 200."
520,grass-pledge,grass,80.0,10,100.0,0,special,"Inflicts regular damage.  If a friendly Pokémon used fire pledge earlier this turn, all opposing Pokémon will take 1/8 their max HP in damage at the end of every turn for four turns (including this one).","With Fire Pledge, damages opposing Pokémon for 1/8 their max HP every turn for four turns."
526,work-up,normal,,30,,0,status,Raises the user’s Attack and Special Attack by one stage each.,Raises the user’s Attack and Special Attack by one stage each.
580,grassy-terrain,grass,,10,,0,status,"For five turns, heals all Pokémon on the ground for 1/16 their max HP each turn and strengthens their grass moves to 1.5× their power.

Changes nature power to energy ball.","For five turns, heals all Pokémon on the ground for 1/16 max HP each turn and strengthens their grass moves to 1.5× their power."
590,confide,normal,,20,,0,status,Lowers the target’s Special Attack by one stage.,Lowers the target’s Special Attack by one stage.
803,grassy-glide,grass,55.0,20,100.0,0,physical,Inflicts regular damage.,Inflicts regular damage with no additional effect.
851,tera-blast,normal,80.0,10,100.0,0,special,,
885,trailblaze,grass,50.0,20,100.0,0,physical,,
46,roar,normal,,20,,-6,status,"Switches the target out for another of its trainer’s Pokémon selected at random.  Wild battles end immediately.

Doesn’t affect Pokémon with suction cups or under the effect of ingrain.",Immediately ends wild battles.  Forces trainers to switch Pokémon.
63,hyper-beam,normal,150.0,5,90.0,0,special,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",User foregoes its next turn to recharge.
89,earthquake,ground,100.0,10,100.0,0,physical,"Inflicts regular damage.

If the target is in the first turn of dig, this move will hit with double power.",Inflicts regular damage and can hit Dig users.
184,scary-face,normal,,10,100.0,0,status,Lowers the target’s Speed by two stages.,Lowers the target’s Speed by two stages.
335,block,normal,,5,,0,status,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",Prevents the target from leaving battle.
338,frenzy-plant,grass,150.0,5,90.0,0,special,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",User foregoes its next turn to recharge.
398,poison-jab,poison,80.0,20,100.0,0,physical,Inflicts regular damage.  Has a $effect_chance% chance to poison the target.,Has a $effect_chance% chance to poison the target.
414,earth-power,ground,90.0,10,100.0,0,special,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Special Defense by one stage.,Has a $effect_chance% chance to lower the target’s Special Defense by one stage.
416,giga-impact,normal,150.0,5,90.0,0,physical,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",User foregoes its next turn to recharge.
431,rock-climb,normal,90.0,20,85.0,0,physical,Inflicts regular damage.  Has a $effect_chance% chance to confuse the target.,Has a $effect_chance% chance to confuse the target.
523,bulldoze,ground,60.0,20,100.0,0,physical,Inflicts regular damage.  Has a $effect_chance% chance to lower the target’s Speed by one stage.,Has a $effect_chance% chance to lower the target’s Speed by one stage.
572,petal-blizzard,grass,90.0,15,100.0,0,physical,Inflicts regular damage.,Inflicts regular damage.
707,stomping-tantrum,ground,75.0,10,100.0,0,physical,"Inflicts regular damage.  Power is doubled if the user’s last move failed for any reason (i.e., produced the message ""But it failed!"") or was ineffective due to types.",Has double power if the user’s last move failed.
805,terrain-pulse,normal,50.0,10,100.0,0,special,Inflicts regular damage.,Inflicts regular damage with no additional effect.
5,mega-punch,normal,80.0,20,85.0,0,physical,Inflicts regular damage.,Inflicts regular damage with no additional effect.
7,fire-punch,fire,75.0,15,100.0,0,physical,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,Has a $effect_chance% chance to burn the target.
9,thunder-punch,electric,75.0,15,100.0,0,physical,Inflicts regular damage.  Has a $effect_chance% chance to paralyze the target.,Has a $effect_chance% chance to paralyze the target.
10,scratch,normal,40.0,35,100.0,0,physical,Inflicts regular damage.,Inflicts regular damage with no additional effect.
17,wing-attack,flying,60.0,35,100.0,0,physical,Inflicts regular damage.,Inflicts regular damage with no additional effect.
25,mega-kick,normal,120.0,5,75.0,0,physical,Inflicts regular damage.,Inflicts regular damage with no additional effect.
43,leer,normal,,30,100.0,0,status,Lowers the target’s Defense by one stage.,Lowers the target’s Defense by one stage.
44,bite,dark,60.0,25,100.0,0,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,Has a $effect_chance% chance to make the target flinch.
52,ember,fire,40.0,25,100.0,0,special,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,Has a $effect_chance% chance to burn the target.
53,flamethrower,fire,90.0,15,100.0,0,special,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,Has a $effect_chance% chance to burn the target.
66,submission,fighting,80.0,20,80.0,0,physical,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,User receives 1/4 the damage it inflicts in recoil.
68,counter,fighting,,20,100.0,-5,physical,"Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",Inflicts twice the damage the user received from the last physical hit it took.
69,seismic-toss,fighting,,20,100.0,0,physical,"Inflicts damage equal to the user’s level.  Type immunity applies, but other type effects are ignored.",Inflicts damage equal to the user’s level.
82,dragon-rage,dragon,,10,100.0,0,special,Inflicts exactly 40 damage.,Inflicts 40 points of damage.
83,fire-spin,fire,35.0,15,85.0,0,special,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",Prevents the target from fleeing and inflicts damage for 2-5 turns.
91,dig,ground,80.0,10,100.0,0,physical,"Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk.","User digs underground, dodging all attacks, and hits next turn."
108,smokescreen,normal,,20,100.0,0,status,Lowers the target’s accuracy by one stage.,Lowers the target’s accuracy by one stage.
126,fire-blast,fire,110.0,5,85.0,0,special,Inflicts regular damage.  Has a $effect_chance% chance to burn the target.,Has a $effect_chance% chance to burn the target.
129,swift,normal,60.0,20,,0,special,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,Never misses.
154,fury-swipes,normal,18.0,15,80.0,0,physical,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.
157,rock-slide,rock,75.0,10,90.0,0,physical,Inflicts regular damage.  Has a $effect_chance% chance to make the target flinch.,Has a $effect_chance% chance to make the target flinch.
163,slash,normal,70.0,20,100.0,0,physical,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.
187,belly-drum,normal,,10,,0,status,"User pays half its max HP to raise its Attack to +6 stages.  If the user cannot pay the HP cost, this move will fail.",User pays half its max HP to max out its Attack.
